run,model.model.training,model.model.input_channels,model.model.num_classes,model.model.conv_blocks,model.model.base_filters,model.model.filters_growth,model.model.kernel_size,model.model.pool_kernel,model.model.norm,model.model.hidden_units,model.model.dropout_p,model.model.global_pool,model.types.training,model.types.input_channels,model.types.num_classes,model.types.conv_blocks,model.types.base_filters,model.types.filters_growth,model.types.kernel_size,model.types.pool_kernel,model.types.norm,model.types.hidden_units,model.types.dropout_p,model.types.global_pool,settings.model.epochs,settings.model.metrics,settings.model.logdir,settings.model.train_steps,settings.model.valid_steps,settings.model.reporttypes,settings.model.optimizer_kwargs.lr,settings.model.optimizer_kwargs.weight_decay,settings.model.scheduler_kwargs.factor,settings.model.scheduler_kwargs.patience,settings.model.earlystop_kwargs.save,settings.model.earlystop_kwargs.verbose,settings.model.earlystop_kwargs.patience,settings.types.epochs,settings.types.metrics,settings.types.logdir,settings.types.train_steps,settings.types.valid_steps,settings.types.reporttypes,settings.types.optimizer_kwargs,settings.types.scheduler_kwargs,settings.types.earlystop_kwargs,final_metric,final_metric_source,final_metric_file
20250919-222149,True,1,10,3,16,2.0,3,2,batch,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222219,True,1,10,3,16,2.0,3,2,batch,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222251,True,1,10,3,16,2.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222319,True,1,10,3,16,2.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222347,True,1,10,3,16,2.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222414,True,1,10,3,16,2.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222440,True,1,10,3,16,2.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222510,True,1,10,3,16,2.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222539,True,1,10,3,16,2.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222608,True,1,10,3,16,2.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222636,True,1,10,3,16,2.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222705,True,1,10,3,16,2.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222734,True,1,10,3,16,2.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222802,True,1,10,3,16,2.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222830,True,1,10,3,16,2.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222900,True,1,10,3,16,2.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222929,True,1,10,3,16,2.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-222958,True,1,10,3,16,2.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223027,True,1,10,3,32,1.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223054,True,1,10,3,32,1.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223122,True,1,10,3,32,1.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223149,True,1,10,3,32,1.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223216,True,1,10,3,32,1.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223245,True,1,10,3,32,1.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223313,True,1,10,3,32,1.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223341,True,1,10,3,32,1.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223410,True,1,10,3,32,1.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223437,True,1,10,3,32,1.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223505,True,1,10,3,32,1.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223533,True,1,10,3,32,1.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223601,True,1,10,3,32,1.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223630,True,1,10,3,32,1.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223659,True,1,10,3,32,1.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223728,True,1,10,3,32,1.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223756,True,1,10,3,32,1.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223830,True,1,10,3,32,1.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223903,True,1,10,3,32,1.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-223938,True,1,10,3,32,1.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224012,True,1,10,3,32,1.0,3,2,batch,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224047,True,1,10,3,32,1.0,3,2,batch,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224122,True,1,10,3,32,1.0,3,2,batch,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224158,True,1,10,3,32,1.0,3,2,batch,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224236,True,1,10,3,32,1.0,3,2,batch,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224311,True,1,10,3,32,1.0,3,2,batch,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224345,True,1,10,3,32,1.0,3,2,batch,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224421,True,1,10,3,32,1.0,3,2,batch,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224455,True,1,10,3,32,1.0,3,2,batch,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224532,True,1,10,3,32,1.0,3,2,batch,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224608,True,1,10,3,32,1.0,3,2,batch,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224646,True,1,10,3,32,1.0,3,2,batch,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224719,True,1,10,3,32,1.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224745,True,1,10,3,32,1.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224813,True,1,10,3,32,1.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224841,True,1,10,3,32,1.0,3,2,layer,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224907,True,1,10,3,32,1.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-224935,True,1,10,3,32,1.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225004,True,1,10,3,32,1.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225032,True,1,10,3,32,1.0,3,2,layer,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225101,True,1,10,3,32,1.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225131,True,1,10,3,32,1.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225203,True,1,10,3,32,1.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225235,True,1,10,3,32,1.0,3,2,layer,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225304,True,1,10,3,32,1.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225332,True,1,10,3,32,1.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225401,True,1,10,3,32,1.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225431,True,1,10,3,32,1.0,3,2,layer,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225458,True,1,10,3,32,2.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225533,True,1,10,3,32,2.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225606,True,1,10,3,32,2.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225642,True,1,10,3,32,2.0,3,2,none,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225719,True,1,10,3,32,2.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225802,True,1,10,3,32,2.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225844,True,1,10,3,32,2.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-225924,True,1,10,3,32,2.0,3,2,none,"128,64",0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230006,True,1,10,3,32,2.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230048,True,1,10,3,32,2.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230130,True,1,10,3,32,2.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230212,True,1,10,3,32,2.0,3,2,none,128,0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230251,True,1,10,3,32,2.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230334,True,1,10,3,32,2.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230416,True,1,10,3,32,2.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230459,True,1,10,3,32,2.0,3,2,none,"128,64",0.3,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230542,True,1,10,3,32,2.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230626,True,1,10,3,32,2.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
20250919-230713,True,1,10,3,32,2.0,3,2,batch,128,0.0,adaptive,bool,int,int,int,int,float,int,int,str,list,float,str,6,Accuracy,modellogs,200,100,"ReportTypes.MLFLOW,ReportTypes.TOML",0.001,1e-05,0.1,10,False,True,10,int,list,WindowsPath,int,int,list,dict,dict,dict,,,
